key,value
page_title,設備異常履歴
equipment_label,設備名
equipment_name,ナットランナーPU-01
status,稼働中
location_label,設置場所
location,製造ライン1
equipment_id_label,設備ID
equipment_id,ナットランナーPU-01
fastening_id_label,締め付けID
fastening_id,2025-04-30-10:42:15
issue_title,不具合（詳細）
issue_date_label,発生日時
issue_date,2025/04/30 10:42
issue_text,"締付け動作中に締付けトルクの立ち上がり不良と異常振動を検知し、異常アラーム（トルク異常）が発生。
ソケット先端部にひび割れがあり、ボルト頭部との嵌合が不安定で設定トルクに達しない状態。アラーム発生後は自動で停止する。"
cause_title,原因（詳細）
cause_date_label,特定日時
cause_date,2025/04/30 13:20
cause_text,"ソケット先端部の疲労によるひび割れ（打痕を起点としたクラックの進展）。
締付け回数が交換目安を超えて使用されており、ボルト当たり面の偏摩耗も確認。"
action_title,処置（詳細）
action_date_label,完了日時
action_date,2025/04/30 15:05
action_text,"ソケットを新品に交換し、締付けトルク・角度の校正を実施。
動作確認のうえ、正常に締付けができることを確認し、設備を復旧。
再発防止として、締付け回数に基づくソケット交換周期を作業標準に追記。"
