date,cause,action
2025/04/30,ソケット先端のひび割れ,ソケットの交換
2024/12/02,ソケットの変形・ダメージ,ソケットの交換、芯出し調整
2024/08/19,ソケットのひび（打痕による）,ソケットの交換、ボルト当たり面の確認
2024/03/08,ソケット内面の欠け,ソケットの交換
2023/10/21,ソケット角部の摩耗・ダメージ,ソケットの交換、締付トルク再設定
2023/06/03,ソケット先端のひび割れ,ソケットの交換
2023/02/15,ソケットの破損,ソケットの交換
2022/11/14,ソケット先端のひび割れ,ソケットの交換
2022/07/27,ソケット角部の欠け,ソケットの交換
2022/03/09,ソケット内面のクラック,ソケットの交換、締付回数の見直し
2021/12/20,ソケットの破損,ソケットの交換
2021/09/06,ソケットのひび（打痕による）,ソケットの交換、ボルト当たり面の確認
2021/05/18,ソケットの摩耗・ダメージ,ソケットの交換
2021/01/25,ソケット先端のひび割れ,ソケットの交換
2020/10/12,ソケットの変形,ソケットの交換、芯出し調整
2020/06/29,ソケット内面の欠け,ソケットの交換
2020/02/17,ソケットのひび割れ,ソケットの交換
2019/11/04,ソケット角部のダメージ,ソケットの交換、締付トルク再設定
2019/07/22,ソケットの破損,ソケットの交換
2019/03/11,ソケット先端のひび,ソケットの交換
